Daylight,Adp 3; Brd 3; Clr 3; Drd 3; Pal 3; Sor/Wiz 3, Evocation/Fire/Void/Spirit, Light, V S, 1 standard action, 10 min./level (D), Touch, None, No, 60-ft. radius of bright light.
Dimensional Anchor,Clr 4; Sor/Wiz 4, Abjuration/Earth/Void/Air, , V S, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), None, Yes  (object), Bars extradimensional movement.
Dimension Door,Asn 4; Brd 4; Sor/Wiz 4; Travel 4, Conjuration/Spirit/Void, , V, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), None and Will negates (object), No and Yes (object), Teleports you short distance.
Transport via Plants,Drd 6, Transmutation/Water/Void/Fire/Earth, , V S, 1 standard action, 1 round, Unlimited, None, No, Move instantly from one plant tosanother ofsthe same kind.
Shadow Walk,Brd 5; Sor/Wiz 6, Illusion/Air/Void/Water/Spirit, , V S, 1 standard action, 1 hour/level (D), Touch, Will negates, Yes, Step into shadow to travel rapidly.
Wall of Stone,Adp 5; Clr 5; Drd 6; Earth 5; Sor/Wiz 5, Conjuration/Spirit/Void/Air/Earth, Earth, V S M/DF, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), See text, No, Creates a stone wall that can be shaped.
Poison,Asn 4; Blk 4; Clr 4; Drd 3, Necromancy/Void/Water/Spirit, , V S DF, 1 standard action, Instantaneous; see text, Touch, Fortitude negates; see text, Yes, Touch deals 1d10 Con damage; repeatssin 1 min.
Word of Recall,Clr 6; Drd 8, Conjuration/Spirit/Void, , V, 1 standard action, Instantaneous, Unlimited, None or Will negates (harmless object), No or Yes (harmless object), Teleports you back to designated place.
Death Knell,Blk 2; Clr 2; Death 2, Necromancy/Void/Earth/Spirit, Death; Evil, V S, 1 standard action, Instantaneous/10 minutes per HD of subject; see text, Touch, Will negates, Yes, Kill dying creature and gain 1d8stemporaryshp; +2 to Str; and +1 caster level.
Dimensional Lock,Clr 8; Sor/Wiz 8, Abjuration/Earth/Void/Air, , V S, 1 standard action, One day/level, Medium (100 ft. + 10 ft./level), None, Yes, Teleportation and interplanar travelsblockedsfor one day/level.
Holy Smite,Good 4, Evocation/Fire/Void/Spirit, Good, V S, 1 standard action, Instantaneous (1 round); see text, Medium (100 ft. + 10 ft./level), Will partial; see text, Yes, Damages and blinds evil creatures.
Speak with Dead,Clr 3, Necromancy/Void/Water/Spirit, Language-Dependent, V S DF, 10 minutes, 1 min./level, 10 ft., Will negates; see text, No, Corpse answers one question/two levels.
Protection from Chaos,Adp 1; Clr 1; Law 1; Pal 1; Sor/Wiz 1, Abjuration/Earth/Void, Lawful, , , , , , , +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
Darkness,Adp 2; Asn 2; Blk 2; Brd 2; Clr 2; Sor/Wiz 2, Evocation/Fire/Void/Air/Spirit, Darkness, V M/DF, 1 standard action, 10 min./level (D), Touch, None, No, 20-ft. radius of supernatural shadow.
Teleportation Circle,Sor/Wiz 9, Conjuration/Spirit/Fire/Void, , V M, 10 minutes, 10 min./level (D), 0 ft., None, Yes, Circle teleports any creature insidestosdesignated spot.
Detect Good,Adp 1; Clr 1, Divination/Water/Void/Spirit, , , , , , , , Sense the presence of good.
Tree Stride,Drd 5; Rgr 4, Conjuration/Spirit/Void, , V S DF, 1 standard action, 1 hour/level or until expended; see text, Personal, , , Step from one tree to another far away.
Contagion,Adp 3; Blk 3; Clr 3; Destruction 3; Drd 3; Sor/Wiz 4, Necromancy/Fire/Void/Earth, Evil, V S, 1 standard action, Instantaneous, Touch, Fortitude negates, Yes, Infects subject with chosen disease.
Gate,Clr 9; Sor/Wiz 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S XP; see text, 1 standard action, Instantaneous or concentration (up to 1
      round/level); see text, Medium (100 ft. + 10 ft./level), None, No, Connects two planes for travel or summoning.
Continual Flame,Adp 3; Clr 3; Sor/Wiz 2, Evocation/Fire/Void/Spirit, Light, V S M, 1 standard action, Permanent, Touch, None, No, Makes a permanent; heatless torch.
Righteous Might,Clr 5; Strength 5, Transmutation/Fire/Water/Void/Earth/Spirit, , V S DF, 1 standard action, 1 round/level (D), Personal, , , Your size increases; and you gainscombat bonuses.
Finger of Death,Drd 8; Sor/Wiz 7, Necromancy/Void, Death, V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Fortitude partial, Yes, Kills one subject.
Fear,Brd 3; Sor/Wiz 4, Necromancy/Void/Air, Fear; Mind-Affecting, V S M, 1 standard action, 1 round/level or 1 round; see text, 30 ft., Will partial, Yes, Subjects within cone flee for 1 round/level.
Ghoul Touch,Sor/Wiz 2, Necromancy/Void/Water/Spirit, , V S M, 1 standard action, 1d6+2 rounds, Touch, Fortitude negates, Yes, Paralyzes one subject; which exudes stEnch
Detect Law,Adp 1; Clr 1, Divination/Water/Void, , , , , , , , Sense the presence of law.
Animate Dead,Adp 3; Clr 3; Death 3; Sor/Wiz 4, Necromancy/Void/Fire, Evil, V S M, 1 standard action, Instantaneous, Touch, None, No, Creates undead skeletons and zombies.
Forcecage,Sor/Wiz 7, Evocation/Fire/Void/Air/Earth/Spirit, Force, V S M, 1 standard action, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Cube or cage of force imprisons all inside.
Dominate Person,Brd 4; Sor/Wiz 5, Enchantment/Air/Void/Fire/Earth/Spirit, Mind-Affecting, V S, 1 round, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Controls humanoid telepathically.
Dispel Law,Chaos 5; Clr 5, Abjuration/Earth/Void/Spirit, Chaotic, , , , , , , +4 bonus against attacks by lawful creatures.
Eyebite,Brd 6; Sor/Wiz 6, Necromancy/Void/Earth/Spirit, Evil, V S, 1 standard action, 1 round per three levels; see text, Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Target becomes panicked; sickened; and comatose.
Reincarnate,Drd 4, Transmutation/Earth/Water/Void/Air/Fire/Spirit, , V S M DF, 10 minutes, Instantaneous, Touch, None; see text, Yes (harmless), Brings dead subject back in a random body.
Faerie Fire,Drd 1, Evocation/Fire/Void/Air/Spirit, Light, V S DF, 1 standard action, 1 min./level (D), Long (400 ft. + 40 ft./level), None, Yes, Outlines subjects with light;scancelingsblur; concealment; and the like.
Ethereal Jaunt,Clr 7; Sor/Wiz 7, Transmutation/Earth/Water/Void/Air/Spirit, , V S, 1 standard action, 1 round/level (D), Personal, , , You become ethereal for 1 round/level.
Inflict Minor Wounds,Clr 0, Necromancy/Void/Fire, , , , , , Will negates, , Touch attack; 1 point of damage.
Blasphemy,Clr 7; Evil 7, Evocation/Fire/Air/Void, Evil; Sonic, V, 1 standard action, Instantaneous, 30 ft., None or Will negates; see text, Yes, Kills; paralyzes; weakens; or dazessnonevil subjects.
Curse Water,Clr 1, Necromancy/Water/Void/Spirit, Evil, V S M, 1 minute, Instantaneous, Touch, Will negates (object), Yes  (object), Makes unholy water.
Project Image,Brd 6; Sor/Wiz 7, Illusion/Air/Spirit/Void, , V S M, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), Will disbelief (if interacted with), No, Illusory double can talk and cast spells.
Spike Stones,Drd 4; Earth 4, Transmutation/Water/Void/Earth/Spirit, Earth, V S DF, 1 standard action, 1 hour/level (D), Medium (100 ft. + 10 ft./level), Reflex partial, Yes, Creatures in area take 1d8 damage; maysbe slowed.
Magic Mouth,Brd 1; Sor/Wiz 2, Illusion/Air/Void, , V S M, 1 standard action, Permanent until discharged, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Speaks once when triggered.
Ray of Enfeeblement,Sor/Wiz 1, Necromancy/Void/Earth, , V S, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), None, Yes, Ray deals 1d6 +1 per two levels Str damage.
Scare,Brd 2; Sor/Wiz 2, Necromancy/Void, Fear; Mind-Affecting, V S M, 1 standard action, 1 round/level or 1 round; see text for cause fear, Medium (100 ft. + 10 ft./level), Will partial, Yes, Panics creatures of less than 6 HD.
Unholy Aura,Clr 8; Evil 8, Abjuration/Earth/Void/Fire/Spirit, Evil, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; SR 25 againstsgood spells.
Prayer,Clr 3; Pal 3, Enchantment/Air/Void/Earth, Mind-Affecting, V S DF, 1 standard action, 1 round/level, 40 ft., None, Yes, Allies +1 bonus on most rolls; enemiess-1 penalty.
Refuge,Clr 7; Sor/Wiz 9, Conjuration/Spirit/Void, , V S M, 1 standard action, Permanent until discharged, Touch, None, No, Alters item to transport its possessorsto you.
Doom,Blk 1; Clr 1, Necromancy/Void, Fear; Mind-Affecting, V S DF, 1 standard action, 1 min./level, Medium (100 ft. + 10 ft./level), Will negates, Yes, One subject takes -2 on attack rolls;sdamagesrolls; saves; and checks.
Permanency,Sor/Wiz 5, Universal/Fire/Void/Air/Water/Spirit, , V S XP, 2 rounds, Permanent; see text, See text, None, No, Makes certain spells permanent.
Enervation,Sor/Wiz 4, Necromancy/Void/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, Yes, Subject gains 1d4 negative levels.
Energy Drain,Clr 9; Sor/Wiz 9, Necromancy/Void, , , , , , Fortitude partial; see text for enervation, , Subject gains 2d4 negative levels.
Geas  Lesser,Brd 3; Sor/Wiz 4, Enchantment/Air/Void/Fire/Spirit, Language-Dependent; Mind-Affecting, V, 1 round, One day/level or until discharged (D), Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Commands subject of 7 HD or less.
Blade Barrier,Clr 6; Good 6; War 6, Evocation/Fire/Void, Force, V S, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), Reflex half or Reflex negates; see text, Yes, Wall of blades deals 1d6/level damage.
Dispel Good,Clr 5; Evil 5, Abjuration/Earth/Void/Spirit, Evil, , , , , , , +4 bonus against attacks by good creatures.
Harm,Clr 6; Destruction 6, Necromancy/Void, , V S, 1 standard action, Instantaneous, Touch, Will half; see text, Yes, Deals 10 points/level damage to target.
Astral Projection,Clr 9; Sor/Wiz 9; Travel 9, Necromancy/Spirit/Void/Air/Fire, , V S M, 30 minutes, See text, Touch, None, Yes, Projects you and companions ontosAstral Plane.
Clone,Sor/Wiz 8, Necromancy/Void/Air/Water/Spirit, , V S M F, 10 minutes, Instantaneous, 0 ft., None, No, Duplicate awakens when original dies.
Shield Other,Clr 2; Pal 2; Protection 2, Abjuration/Earth/Void/Fire/Water/Spirit, , V S F, 1 standard action, 1 hour/level (D), Close (25 ft. + 5 ft./2 levels), Will negates (harmless), Yes (harmless), You take half of subject's damage.
Inflict Serious Wounds  Mass,Clr 7, Necromancy/Void/Fire, , , , , , , , Deals 3d8 damage +1/level to many creatures.
Inflict Serious Wounds,Blk 3; Clr 3, Necromancy/Void/Fire, , , , , , , , Touch attack; 3d8 damage +1/level (max +15).
Hallow,Clr 5; Drd 5, Evocation/Fire/Void/Air/Earth/Spirit, Good, V S M DF, 24 hours, Instantaneous, Touch, See text, See text, Designates location as holy.
Holy Aura,Clr 8; Good 8, Abjuration/Earth/Void/Fire/Spirit, Good, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; and SR 25sagainstsevil spells.
True Resurrection,Clr 9, Conjuration/Earth/Spirit/Void/Water, , , 10 minutes, , , , , As resurrection; plus remains aren't needed.
Soul Bind,Clr 9; Sor/Wiz 9, Necromancy/Void/Spirit, , V S F, 1 standard action, Permanent, Close (25 ft. + 5 ft./2 levels), Will negates, No, Traps newly dead soul to prevent resurrection.
Inflict Moderate Wounds  Mass,Clr 6, Necromancy/Void/Fire, , , , , , , , Deals 2d8 damage +1/level to many creatures.
Inflict Light Wounds,Blk 1; Clr 1; Destruction 1, Necromancy/Void/Water/Spirit, , V S, 1 standard action, Instantaneous, Touch, Will half, Yes, Touch attack; 1d8 damage +1/level (max +5).
Prying Eyes,Sor/Wiz 5, Divination/Air/Earth/Water/Void/Spirit, , V S M, 1 minute, 1 hour/level; see text (D), One mile, None, No, 1d4 +1/level floating eyes scout for you.
Inflict Moderate Wounds,Blk 2; Clr 2, Necromancy/Void/Fire, , , , , , , , Touch attack; 2d8 damage +1/level (max +10).
Planar Ally  Lesser,Clr 4, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S DF XP, 10 minutes, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Exchange services with a 6 HDsextraplanar creature.
Summon Swarm,Brd 2; Drd 2; Sor/Wiz 2, Conjuration/Spirit/Void/Fire, , V S M/DF, 1 round, Concentration + 2 rounds, Close (25 ft. + 5 ft./2 levels), None, No, Summons swarm of bats; rats; or spiders.
Summon Monster IX,Chaos 9; Clr 9; Evil 9; Good 9; Law 9; Sor/Wiz 9, Conjuration/Fire/Water/Spirit/Void/Air, , , , , , , , Calls extraplanar creature to fightsfor you.
Nightmare,Brd 5; Sor/Wiz 5, Illusion/Air/Void/Fire/Water/Spirit, Mind-Affecting; Evil, V S, 10 minutes, Instantaneous, Unlimited, Will negates; see text, Yes, Sends vision dealing 1d10 damage; fatigue.
Detect Chaos,Adp 1; Clr 1, Divination/Water/Void, , , , , , , , Sense the presence of chaos.
Flesh to Stone,Sor/Wiz 6, Transmutation/Water/Void, , V S M, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Fortitude negates, Yes, Turns subject creature into statue.
Magic Circle against Good,Asn 3; Clr 3; Evil 3; Sor/Wiz 3, Abjuration/Earth/Void/Spirit, Evil, , , , , , , As protection spells; but 10-ft.sradius ands10 min./level.
Summon Nature's Ally I,Drd 1; Rgr 1, Conjuration/Spirit/Void, , V S DF, 1 round, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Calls animal to fight for you.
Waves of Fatigue,Sor/Wiz 5, Necromancy/Void, , V S, 1 standard action, Instantaneous, 30 ft., No, Yes, Several targets become fatigued.
Summon Nature's Ally V,Drd 5, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Teleport,Sor/Wiz 5; Travel 5, Conjuration/Spirit/Void/Water, , V, 1 standard action, Instantaneous, Personal and touch, None and Will negates (object), No and Yes (object), Instantly transports you as far as 100 miles/level.
Protection from Evil,Adp 1; Clr 1; Good 1; Pal 1; Sor/Wiz 1, Abjuration/Air/Earth/Void/Fire/Spirit, Good, V S M/DF, 1 standard action, 1 min./level (D), Touch, Will negates (harmless), No; see text, +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
Resurrection,Clr 7, Conjuration/Earth/Spirit/Void/Air/Water, , , 10 minutes, , , , , Fully restore dead subject.
Bestow Curse,Adp 3; Clr 3; Sor/Wiz 4, Necromancy/Air/Void/Spirit, , V S, 1 standard action, Permanent, Touch, Will negates, Yes, -6 to an ability score; -4 on attacksrolls;ssaves; and checks; or 50% chance of losing each action.
Spectral Hand,Sor/Wiz 2, Necromancy/Void/Air/Earth/Water/Spirit, , V S, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Creates disembodied glowing hand tosdeliverstouch attacks.
Circle of Death,Sor/Wiz 6, Necromancy/Void/Spirit, Death, V S M, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Fortitude negates, Yes, Kills 1d4/level HD of creatures.
Whispering Wind,Brd 2; Sor/Wiz 2, Transmutation/Water/Void/Air, Air, V S, 1 standard action, No more than 1 hour/level or until discharged
      (destination is reached), 1 mile/level, None, No, Sends a short message 1 mile/level.
Scrying  Greater,Brd 6; Clr 7; Drd 7; Sor/Wiz 7, Divination/Water/Void/Spirit, , V S, 1 standard action, 1 hour/level, , , , As scrying; but faster and longer.
Death Ward,Clr 4; Death 4; Drd 5; Pal 4, Necromancy/Void/Fire, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Grants immunity to death spells andsnegativesenergy effects.
Plane Shift,Clr 5; Sor/Wiz 7, Conjuration/Spirit/Void, , V S F, 1 standard action, Instantaneous, Touch, Will negates, Yes, As many as eight subjects travel tosanother plane.
Magic Jar,Sor/Wiz 5, Necromancy/Void/Air/Fire/Earth/Water/Spirit, , V S F, 1 standard action, 1 hour/level or until you return to your body, Medium (100 ft. + 10 ft./level), Will negates; see text, Yes, Enables possession of another creature.
Touch of Fatigue,Adp 0; Sor/Wiz 0, Necromancy/Void, , V S M, 1 standard action, 1 round/level, Touch, Fortitude negates, Yes, Touch attack fatigues target.
Summon Nature's Ally VIII,Animal 8; Drd 8, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Summon Nature's Ally IX,Drd 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Dispel Chaos,Clr 5; Law 5; Pal 4, Abjuration/Earth/Void/Spirit, Lawful, , , , , , , +4 bonus against attacks by chaotic creatures.
Create Undead,Clr 6; Death 6; Evil 6; Sor/Wiz 6, Necromancy/Void/Spirit, Evil, V S M, 1 hour, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Creates ghouls; ghasts; mummies; or mohrgs.
Atonement,Clr 5; Drd 5, Abjuration/Earth/Void/Spirit, , V S M F DF XP, 1 hour, Instantaneous, Touch, None, Yes, Removes burden of misdeeds from subject.
Shield of Law,Clr 8; Law 8, Abjuration/Earth/Void/Fire/Spirit, Lawful, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; and SR 25sagainstschaotic spells.
Disrupt Undead,Sor/Wiz 0, Necromancy/Void, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, Yes, Deals 1d6 damage to one undead.
Zone of Truth,Clr 2; Pal 2, Enchantment/Air/Void/Fire/Spirit, Mind-Affecting, V S DF, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Subjects within range cannot lie.
Deathwatch,Clr 1, Necromancy/Earth/Void/Spirit, Evil, V S, 1 standard action, 10 min./level, 30 ft., None, No, Reveals how near death subjects withins30sft. are.
Message,Brd 0; Sor/Wiz 0, Transmutation/Water/Void/Earth, Language-Dependent, V S F, 1 standard action, 10 min./level, Medium (100 ft. + 10 ft./level), None, No, Whispered conversation at distance.
Raise Dead,Adp 5; Clr 5, Conjuration/Earth/Spirit/Void/Air/Water, , V S M DF, 1 minute, Instantaneous, Touch, None; see text, Yes (harmless), Restores life to subject who died asslong assone day/level ago.
Destruction,Clr 7; Death 7, Necromancy/Void/Spirit, Death, V S F, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Fortitude partial, Yes, Kills subject and destroys remains.
Symbol of Persuasion,Clr 6; Sor/Wiz 6, Enchantment/Air/Void/Fire, Mind-Affecting, , , , , Will negates, , Triggered rune charms nearby creatures.
Light,Adp 0; Brd 0; Clr 0; Drd 0; Sor/Wiz 0, Evocation/Fire/Void/Spirit, Light, V M/DF, 1 standard action, 10 min./level (D), Touch, None, No, Object shines like a torch.
Scrying,Brd 3; Clr 5; Drd 4; Sor/Wiz 4, Divination/Water/Void/Air/Spirit, , V S M/DF F, 1 hour, 1 min./level, See text, Will negates, Yes, Spies on subject from a distance.
Summon Nature's Ally III,Drd 3; Rgr 3, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls animal to fight for you.
Symbol of Death,Clr 8; Sor/Wiz 8, Necromancy/Void/Fire/Earth/Spirit, Death, V S M, 10 minutes, See text, 0 ft.; see text, Fortitude negates, Yes, Triggered rune slays nearby creatures.
Detect Evil,Adp 1; Clr 1, Divination/Water/Void/Earth/Spirit, , V S DF, 1 standard action, Concentration up to 10 min./ level (D), 60 ft., None, No, Sense the presence of evil.
Misdirection,Asn 3; Brd 2; Sor/Wiz 2, Illusion/Air/Water/Void, , V S, 1 standard action, 1 hour/level, Close (25 ft. + 5 ft./2 levels), None or Will negates; see text, No, Misleads divinations for one creaturesor object.
Undeath to Death,Clr 6; Sor/Wiz 6, Necromancy/Void, , V S M/DF, , , , Will negates, , Destroys 1d4/level HD of undead (max 20d4).
Maze,Sor/Wiz 8, Conjuration/Spirit/Water/Void, , V S, 1 standard action, See text, Close (25 ft. + 5 ft./2 levels), None, Yes, Traps subject in extradimensional maze.
Halt Undead,Sor/Wiz 3, Necromancy/Void/Air, , V S M, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), Will negates (see text), Yes, Immobilizes undead for 1 round/level.
Gentle Repose,Clr 2; Sor/Wiz 3, Necromancy/Void/Spirit, , V S M/DF, 1 standard action, One day/level, Touch, Will negates (object), Yes  (object), Preserves one corpse.
Interposing Hand,Sor/Wiz 5, Evocation/Fire/Void/Air/Spirit, Force, V S F, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None, Yes, Hand provides cover against one opponent.
Blindness/Deafness,Brd 2; Clr 3; Sor/Wiz 2, Necromancy/Void/Spirit, , V, 1 standard action, Permanent (D), Medium (100 ft. + 10 ft./level), Fortitude negates, Yes, Makes subject blinded or deafened.
Entangle,Drd 1; Plant 1; Rgr 1, Transmutation/Water/Void/Air/Earth, , V S DF, 1 standard action, 1 min./level (D), Long (400 ft. + 40 ft./level), Reflex partial; see text, No, Plants entangle everyone ins40-ft.-radius circle.
Create Greater Undead,Clr 8; Death 8; Sor/Wiz 8, Necromancy/Void/Air, Evil, , , , , , , Create shadows; wraiths; spectres; or devourers.
Teleport  Greater,Sor/Wiz 7; Travel 7, Conjuration/Spirit/Void, , , , , , , , As teleport; but no range limit and nosoff-target arrival.
False Life,Asn 3; Sor/Wiz 2, Necromancy/Void/Spirit, , V S M, 1 standard action, 1 hour/level or until discharged; see text, Personal, , , Gain 1d10 temporary hp +1/level (max +10).
Wall of Force,Sor/Wiz 5, Evocation/Fire/Air/Earth/Spirit/Void, Force, V S M, 1 standard action, 1 round /level (D), Close (25 ft. + 5 ft./2 levels), None, No, Wall is immune to damage.
Mark of Justice,Clr 5; Pal 4, Necromancy/Air/Void/Spirit, , V S DF, 10 minutes, Permanent; see text, Touch, None, Yes, Designates action that will triggerscurse on subject.
True Seeing,Adp 5; Clr 5; Drd 7; Knowledge 5; Sor/Wiz 6, Divination/Air/Water/Void/Earth/Spirit, , V S M, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Lets you see all things as they really are.
Ray of Exhaustion,Sor/Wiz 3, Necromancy/Void, , V S M, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Fortitude partial; see text, Yes, Ray makes subject exhausted.
Helping Hand,Clr 3, Evocation/Fire/Void/Air, , V S DF, 1 standard action, 1 hour/level, 5 miles, None, No, Ghostly hand leads subject to you.
Polymorph Any Object,Sor/Wiz 8; Trickery 8, Transmutation/Water/Void/Air/Fire/Earth/Spirit, , V S M/DF, 1 standard action, See text, Close (25 ft. + 5 ft./2 levels), Fortitude negates (object); see text, Yes (object), Changes any subject into anything else.
Inflict Critical Wounds  Mass,Clr 8, Necromancy/Void/Fire, , , , , , , , Deals 4d8 damage +1/level to many creatures.
Wail of the Banshee,Death 9; Sor/Wiz 9, Necromancy/Void/Air, Death; Sonic, V, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Kills one creature/level.
Unholy Blight,Evil 4, Evocation/Fire/Void/Spirit, Evil, V S, 1 standard action, Instantaneous (1d4 rounds); see text, Medium (100 ft. + 10 ft./level), Will partial, Yes, Damages and sickens good creatures.
Magic Circle against Chaos,Clr 3; Law 3; Pal 3; Sor/Wiz 3, Abjuration/Earth/Void, Lawful, , , , , , , As protection from chaos; but 10-ft.sradiussand 10 min./level.
Symbol of Pain,Clr 5; Sor/Wiz 5, Necromancy/Void/Fire, Evil, , , , , , , Triggered rune wracks nearby creaturesswith pain.
Word of Chaos,Chaos 7; Clr 7, Evocation/Air/Fire/Void, Chaotic; Sonic, V, 1 standard action, Instantaneous, 40 ft., None or Will negates; see text, Yes, Kills; confuses; stuns; or deafenssnonchaotic subjects.
Slay Living,Clr 5; Death 5, Necromancy/Void, Death, V S, 1 standard action, Instantaneous, Touch, Fortitude partial, Yes, Touch attack kills subject.
Summon Nature's Ally IV,Animal 4; Drd 4; Rgr 4, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls animal to fight for you.
Sound Burst,Brd 2; Clr 2, Evocation/Fire/Void/Air, Sonic, V S F/DF, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Fortitude partial, Yes, Deals 1d8 sonic damage to subjects;smay stun them.
Protection from Law,Adp 1; Chaos 1; Clr 1; Sor/Wiz 1, Abjuration/Earth/Void, Chaotic, , , , , , , +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
Horrid Wilting,Sor/Wiz 8; Water 8, Necromancy/Water/Void/Earth/Spirit, , V S M/DF, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), Fortitude half, Yes, Deals 1d6/level damage within 30 ft.
Wall of Thorns,Drd 5; Plant 5, Conjuration/Fire/Spirit/Void/Air/Earth, , V S, 1 standard action, 10 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Thorns damage anyone who tries to pass.
Glyph of Warding,Clr 3, Abjuration/Fire/Earth/Void/Air/Spirit, , V S M, 10 minutes, Permanent until discharged (D), Touch, See text, No  (object) and Yes; see text, Inscription harms those who pass it.
Teleport Object,Sor/Wiz 7, Conjuration/Spirit/Void, , , , , Touch, Will negates (object), Yes  (object), As teleport; but affects a touched object.
Arcane Eye,Sor/Wiz 4, Divination/Water/Void/Air, , V S M, 10 minutes, 1 min./level (D), Unlimited, None, No, Invisible floating eye moves 30 ft./round.
Inflict Light Wounds  Mass,Clr 5; Destruction 5, Necromancy/Void/Fire/Water/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will half, Yes, Deals 1d8 damage +1/level to any creatures.
Waves of Exhaustion,Sor/Wiz 7, Necromancy/Void, , V S, 1 standard action, Instantaneous, 60 ft., No, Yes, Several targets become exhausted.
Trap the Soul,Sor/Wiz 8, Conjuration/Spirit/Void/Air, , V S M (F); see text, 1 standard action or see text, Permanent; see text, Close (25 ft. + 5 ft./2 levels), See text, Yes; see text, Imprisons subject within gem.
Dispel Evil,Clr 5; Good 5; Pal 4, Abjuration/Air/Earth/Void/Spirit, Good, V S DF, 1 standard action, 1 round/level or until discharged whichever       comes first, Touch, See text, See text, +4 bonus against attacks by evil creatures.
Summon Nature's Ally VI,Drd 6, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Symbol of Stunning,Clr 7; Sor/Wiz 7, Enchantment/Air/Void/Fire, Mind-Affecting, , , , , Will negates, , Triggered rune stuns nearby creatures.
Spider Climb,Asn 2; Drd 2; Sor/Wiz 2, Transmutation/Water/Void/Air, , V S M, 1 standard action, 10 min./level, Touch, Will negates (harmless), Yes (harmless), Grants ability to walk on walls and ceilings.
Summon Nature's Ally VII,Drd 7, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Desecrate,Clr 2; Evil 2, Evocation/Fire/Spirit/Void, Evil, V S M DF, 1 standard action, 2 hours/level, Close (25 ft. + 5 ft./2 levels), None, Yes, Fills area with negative energy;smakingsundead stronger.
Symbol of Weakness,Clr 7; Sor/Wiz 7, Necromancy/Void/Fire/Earth, , , , , , , , Triggered rune weakens nearby creatures.
Protection from Good,Adp 1; Clr 1; Evil 1; Sor/Wiz 1, Abjuration/Earth/Void/Spirit, Evil, , , , , , , +2 to AC and saves; counter mindscontrol;shedge out elementals and outsiders.
